公告类型,项目名称,所属行业,组织形式,开标时间,标书发售时间,公告内容,招标人,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,监督部门,监督部门地址,监督部门联系人,监督部门联系方式,依据文件,依据文号,发布日期,发布网站,公告历史
招标计划,2026年东坊城乡李峪村田园综合旅游项目,农业,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.7.3,山西省公共资源交易平台,2026年东坊城乡李峪村田园综合旅游项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1070925.jhtml
招标公告,孝河幸福河湖建设工程监理项目,无,无,202,2026年7月3日17时00分至2026年7月24日10时00分,孝河幸福河湖建设工 程 监理项目招标 公告 （招标编号 ： SJ141100202607 020430 ） 招标项目所在地区：山 西省吕梁市 一、招标条 件 本孝河幸福河湖建设工程（ 招标项目编号： SJ141100202607 020430 ），已由孝义 市发 展和改革局以孝发改发【2024】166 号文批准建设，核准号为 2024-0 50 。孝义市发展 和改 革局以孝发改发【2026】56 号文件批准初步设计， 工程总投资 13426.2 2 万元；项目资 金 来源为争取中央资金、省级资金补助和本级财政资金， 招标人为孝义市水利局。本项目已 具备招标条件，现对该项目监理项目 进行国内公开招标。 二、项目概况和招 标范围 项目规模：本工程主要包含河湖系统治理、提升管护 能力提升、助力流域区域发展三 方面内容 。 （ 1 ）河湖系统治理主要包括：岸线 保护修复工程共 27.67k m ，其中张家庄水库 上游段 （桩号 K4+000-K20+ 200 ）河湖岸线生态化治理工程左 右岸总长共 24.6k m 、库区段长 度 1.0k m 、张家庄水库下游段（凹岸防 护左右岸总长 2.07k m ）、曹溪河生态化治理 工程左右 岸总长共 2.6k m ；水域空间修复包括张家庄水 库上游（桩号 K1+100-K20+ 200 ）河床整治 工 程总长 18.2k m 、防冲潜坎 67 座、闸坝生态流量泄放设施改造 2 处；水文化保护传 承与挖 掘创新包括水文化展示与宣传、水文化遗产挖掘与 系统保护、建设水情教育基地 1 处。 （ 2 ）提升管护能力主要 包括：设置 “ 四个一 ” 设施 9 0 处、界桩 55 6 座、界碑 5 6 座、 告示牌 3 0 处。一体化监测站（水位 、流量、流速） 8 套、雨量监测站 8 套、视频监控 42 套、动态智慧杆 2 套、无人机自动机库系统 2 套。幸福河湖智慧系统集成 1 项。 （ 3 ）助力流域区域发展主要包括：建设亲水 平台、完善便民设施等。 招标内容与范围：本招标项目划分为 1 个标段，本次招标为 其中的： 00 1 不分标段，标段（包 ）内容： 标段（包）范围：孝河幸福河湖建设工程 工程施工全过程监理工作 建设地址：孝河整 条河道 监理服务期：自监理合同签订之日起，至工程竣 工验收及缺陷责任期满之日止 三、投标人资格 要求 00 1 不分标段，该标段（包） 投标人资格要求 : 3. 1 本次招标要求投标人须具备工程监理综合资质或行 政主管部门颁发的水利工程施 工监理乙级及以上资质， 并在人员、设备方 面具有相应的监理能力。 3. 2 投标人拟派总监理工程师须具备 国家级监理工程师 ( 水利工 程 ) 注册证书及水 利工 程高级及以上专业技 术职称。 3. 3 其它主要人员：除总监理工程师外，拟派的主要监 理人员至少包含机电类专业监 理工程师或信息类专业监理工程师 1 名，水利水电工程注册监理工程师 2 名； 3. 4 单位负责人为同一人或者存在控股、管理关系的不 同单位，不得同时对本项目提 出投标申请，否则投 标无效； 3. 5 投标人、法定代表人和项目总监近三年 内无行贿犯罪记录。 3. 6 投标人应符合《中华人民共和国招标投标法实 施条例》第三章第三十四条： “ 单 位负责人为同一人或者存在控股、管理关系的不同单位 ，不得参加同一标段或者未划分标 段的同一招标项 目投标 ” 的规定； 3. 7 投标人未 被 “ 中国执行信息 公开网 ” 网站列入失信被执 行人；未被 “ 信用中 国 ” 网站列入重大税收违法失 信主体；未在 “ 全国水利建设市场信 用信息平台 ” 行政处罚名 单 中；未被 列入 “ 国家企业信用信息 公示系统 ” 严重违法失信名单；在中国裁 判文书网无行 贿犯罪记录 。 3. 8 本项目不允许联合 体投标。 四、招标文件的 获取 4.1 获取时 间 :202 6 年 7 月 3 日 1 7 时 0 0 分至 202 6 年 7 月 2 4 日 1 0 时 0 0 分前； 4.2 获取方法：在全国公共 资源交易平台 ( 山西省吕 梁市 ) 免费下载招标 文件 ( 投标人需 办理数字证书后 方可下载 ) 。 五、投标文件的 递交 5. 1 递交截止 时间 :202 6 年 7 月 2 4 日 1 0 时 0 0 分； 5. 2 递交方 法 : 投标人应在投标截止时 间前，登录 “ 全国公共资源交 易平台 ( 山西省吕 梁市 )” 在线提交加密后的电子投标文件。逾期提交或者未 提交的投标文件，招标人不予受 理； 5. 3 递交地址：全国公共资源交易平台 （山西省吕梁市）。 六、开标时间及 地点 6. 1 开标时间 ： 202 6 年 7 月 2 4 日 1 0 时 0 0 分 6. 2 开标方式：通过全国公共资源 交易平台（山西省 · 吕梁市）网上 开标 七、提交投标保证 金的形式 本项目可以采用现金保证金或银行保函、保证保险、 担保机构保函、电子保函等非现 金交易担保方式提交投 标保证金。 八、提出异议的渠 道和方式 提出异议的渠道：通过电子招 标投标交易平台 接收异议的联系人 ：陈先生 电 话： 0358-783 0624 九、其他公告 内容 9.1 本次招标公告同时在《山西省招标投标公共服务平 台》、《全国公共资源交易平 台（山西 省 · 吕梁市）》上发 布。 9.2 本项目全面实行远程线上开标， 项目发起解密 3 0 分钟内投标人登录全国 公共资源 交易平台（山 西省 · 吕梁市）→远程开标大厅，进行解密、确认 报价。若在规定时间内投 标文件无法解密或解密失败，视为 主动放弃本次投标。 十、监督部 门 本招标项目的监督部门为吕 梁市水利局。 监督部门联系 方式： 0358-828 2206 电子邮件 ： llghjh@163 .com 十一、联系方 式 招标人：孝义市 水利局 地址：山西省孝义市迎宾路 三农大楼七层 联系人：陈先 生 电话： 0358-783 0624 招标代理机构：山西中和康泰建设 项目管理有限公司 地址：山西省吕梁孝义市振兴 街（德泽苑 5 号楼 2 单元 3 层） 联系人：张女 士 电话： 0358-783 0988 电子邮件 ： sxzhkt@163 .com 招标代理机 构项 目负责人：张高 统（签名 ） 招标人或其 招标 代理机构：山西 中和康泰 建设项目管理有限公司 （签章）,孝义市水利局,山西省孝义市迎宾路三农大楼七层,陈先生,0358-7830624,山西中和康泰建设项目管理有限公司,山西省吕梁孝义市振兴街（德泽苑5号楼2单元3层）,张女士,0358-7830988,吕,山西省孝义市迎宾路 三农大楼七层,陈先 生,0358-7830624,无,无,招标公告-2026.7.3,山西省公共资源交易平台,孝河幸福河湖建设工程监理项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1070948.jhtml
招标公告,右玉县人民医院综合楼配套工程信息化网络设备,无,无,2026-07-24 09:30:00,2026-07-03 15:00 -- 2026-07-10 15:00,"右玉县人民医院综合楼配套工程信息化网络设备(1标段)招标公告 （招标编号：E14060000G3001812001） 招标项目所在地区: 山西省朔州市右玉县 一、招标条件 本右玉县人民医院综合楼配套工程信息化网络设备（招标项目编号： E14060000G3001812001 ），已由右玉县行政审批服务管理局批准，项目资金来源为申请上级资金及地方财政配套资金，招标人为右玉县卫生健康局。本项目已具备招标条件，现进行 公开招标 。 二、项目概况和招标范围 项目规模: 家具购置包括服务中心、治疗室、会议室等;窗帘购置安装，其中隔断帘3019.5米，窗帘3472米；医院综合楼音视频系统包括十五层报告厅音视频系统、十四临床模拟实训中心音视频系统、十三层和十五层小会议室音视频系统、IP广播系统、物联控制及信息发布系统；医院综合楼净化包括五层产房、四层手术室、ICU、三层中心供应室及二层检验科(pcr实验室)共1897平方米；中心供养机组包括制氧主机1套、负压吸引主机1套及压缩空气主机1套；医疗器械购置1项，医疗系统软件购置1项，信息化网络建设包括医疗云数据中心、模块化数据机房、云桌面办公系统、网络及安全防护等。 招标内容与范围：本招标项目划分为1个标段，本次招标为其中的: 001001标段 右玉县人民医院综合楼配套工程信息化网络设备: 2.1招标内容：详见采购清单 2.2供货及安装期限：60日历天 2.3交货地点：招标人指定地点 2.4项目备案编号：E14060000G3001812001 2.5项目审批文号：右审批字[2024]51号、右审批字[2025]125号 2.6项目总投资额：1389.42386万元 三、投标人资格要求 001001标段 右玉县人民医院综合楼配套工程信息化网络设备: 3.1投标人须具有独立法人资格,具备有效的营业执照，并在人员、设备、资金等方面具备相应的供货能力； 3.2.投标人信誉良好，近三年内在“信用中国”（http//www.creditchina. gov.cn/）网站中未被列入失信被执行人名单（查询企业及法定代表人），在国家企业信用信息公示系统（http://www.gsxt.gov.cn/）中未被列入严重违法失信企业名单录； 3.3.投标人需提供自招标公告发布之日起至投标文件递交截止时间前中国裁判文书网（http://wenshu.court.gov.cn/）查询页面截图（须查询企业、法定代表人）； 3.4.单位负责人为同一人或存在控股、管理关系的不同单位不得同时参加本项目的投标； 3.5.本次招标不接受联合体投标。 本标段 不允许 联合体投标。 四、招标文件的获取 001001标段 右玉县人民医院综合楼配套工程信息化网络设备: 获取时间: 2026-07-03 15:00 -- 2026-07-10 15:00 获取方法: 本项目投标人须办理CA数字证书，在公共资源交易市场主体库（http://jyzt.sxzwfw.gov.cn/）进行主体库注册，主体库注册完成后凭借CA数字证书登录朔州市公共资源电子交易系统（http://124.167.17.28:8090/gb-web/#/login），通过系统指引下载获取本项目招标文件，此为获取本项目招标文件的唯一途径 五、投标文件的递交 001001标段 右玉县人民医院综合楼配套工程信息化网络设备: 递交截止时间: 2026-07-24 09:30:00 递交方法: 系统上传 递交地址: 投标人须使用CA数字证书在朔州市公共资源电子交易系统http://124.167.17.28:8090/gb-web/#/login上传加密投标文件，上传的加密投标文件须自行解密验证，投标文件递交截止时间后将无法上传投标文件，远程开标需提前检测好电脑环境 六、开标时间及地点 001001标段 右玉县人民医院综合楼配套工程信息化网络设备: 开标时间: 2026-07-24 09:30:00 开标方式: 网上开标 七、提交投标保证金的形式 本项目可以采用现金保证金或银行保函、保证保险、担保机构保函、电子保函等非现金交易担保方式提交投标保证金 八、提出异议的渠道和方式 提出异议的渠道: 1.通过全国公共资源交易平台 ( 山西省 · 朔州市 )(http://szggzy.shuozhou.gov.cn/） 2.纸质方式提出 接收异议的联系人: 赵剑峰 电话: 0349-8021624 九、其他公告内容 1.本次招标公告同时在《山西省招标投标公共服务平台》和《全国公共资源交易平台（山西省·朔州市）》上发布； 2.本次招标文件评标方法采用综合评估法，定标方式：招标人应当依据评标委员会提交的评标报告和推荐的中标候选人，依法确定第一中标候选人为中标人。 十、监督部门 本招标项目的监督部门为右玉县住房和城乡建设管理局。 电 话: 0349-8022515。 电子邮件: youyuchengjianju@163.com。 十一、联系方式 招 标 人: 右玉县卫生健康局 地 址: 右玉县玉林东街 联 系 人: 赵剑峰 电 话: 0349-8021624 电子邮件: yywsj1@163.com 招标代理机构: 山西永德兴工程项目管理有限公司 地 址: 太原市小店区晋阳街82号6幢6层0601-0602号 联 系 人: 程蔚洁 电 话: 17891290225 电子邮件: ydx7030335@163.com 招标人或招标代理机构主要负责人（项目负责人）: （签章） 招标人或招标代理机构: （签章）",右玉县卫生健康局,右玉县玉林东街,赵剑峰,0349-8021624,山西永德兴工程项目管理有限公司,太原市小店区晋阳街82号6幢6层0601-0602号,程蔚洁,17891290225,右玉县住房和城乡建设管理局,无,无,0349-8022515,无,无,招标公告-2026.7.3,山西省公共资源交易平台,右玉县人民医院综合楼配套工程信息化网络设备(1标段)招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1070952.jhtml
招标公告,介休市义棠镇郭壁村采煤沉陷区搬迁安置后旧房拆除及土地复垦项目,无,无,2026-07-24 09:00,2026-07-03 12:00至2026-07-08 12:00,"（招标编号：E1407000827004405001） 招标项目所在地区:介休市 一、招标条件 本 介休市义棠镇郭壁村采煤沉陷区搬迁安置后旧房拆除及土地复垦项目（招标项目编号：E1407000827004405001）,已由介休市自然资源局以介自然资发[2026]2号批准建设,项目资金来源为 财政资金招标人为 介休市规划和自然资源事务服务中心。本项目已具备招标条件，现进行 公开招标 二、项目概况与招标范围 项目规模：本项目区位于义棠镇郭壁村，复垦区总面积为21.7780hm²，复垦责任范围面积为19.333hm²，项目区通过复垦后，拟复垦地类：旱地12.4475hm²，农村道路0.4506hm²，田坎6.3313hm²，水域及水利设施用地0.1036hm²。 招标内容与范围：本招标项目划分为 1个标段，本次招标为其中的： 001介休市义棠镇郭壁村采煤沉陷区搬迁安置后旧房拆除及土地复垦项目 建设工期：365日历天 三、投标人资格要求 001介休市义棠镇郭壁村采煤沉陷区搬迁安置后旧房拆除及土地复垦项目 3.1资质要求：投标人必须在中华人民共和国境内注册，具有独立法人资格，取得有效的营业执照，并在人员、设备、资金等方面具有相应的施工能力；投标人须具备建筑工程或市政公用工程施工总承包叁级及以上资质和安全生产许可证。3.2人员要求：投标人拟派项目经理须具备建筑工程或市政公用工程专业贰级（含）以上注册建造师执业资格，具有有效的安全生产考核合格证书（B类），且未担任其他在施建设工程项目的项目经理。3.3信用要求：投标人在信用中国网站中未被列入失信被执行人名单；在国家企业信用信息公示系统网站中未列入严重违法失信企业名单；投标人、法定代表人及项目经理在中国裁判文书网无行贿犯罪记录。3.4根据（晋财购〔2025〕89号）文件要求，本项目需落实的政府采购政策要求：本项目专门面向中小型企业采购，投标人应为中小型企业。3.5其他要求：投标人应符合《中华人民共和国招标投标法实施条例》第三十四条“与招标人存在利害关系可能影响招标公正性的法人，其它组织或者个人，不得参加投标。单位负责人为同一人或者存在控股、管理关系的不同单位，不得参加同一标段或者未划分标段的同一招标项目投标”的规定。 本项目 不允许 联合体投标。 四、招标文件的获取 获取时间：2026-07-03 12:00至2026-07-08 12:00 获取方法：凡有意参加投标者，在晋中市公共资源交易平台线上获取招标文件。 五、投标文件的递交 递交截止时间:2026-07-24 09:00 递交方法:晋中市公共资源交易平台线上递交 递交地址：晋中市公共资源交易平台 六、开标时间及地点 开标时间：2026-07-24 09:00 开标方式：本项目采用远程不见面开标，通过晋中市公共资源交易系统远程解密、远程在线开标。 七、提交投标保证金的形式 本项目可以采用现金保证金或银行保函、保证保险、担保机构保函、电子保函等非现金交易担保方式提交投标保证金。 八、提出异议的渠道和方式 提出异议的渠道:1.通过电子招标投标交易平台(系统) 2.纸质方式提出 接收异议的联系人:宋先生 电话:18735429575 九、其他公告内容 本次招标公告同时在 《中国招标投标公共服务平台》、《山西省招标投标公共服务平台》(山西招投标网)、《全国公共资源交易平台（山西省）》、《晋中市公共资源交易平台》上发布。 9.1 主体库注册：请在山西省公共资源交易市场完成主体库注册（http://jyzt.sxzwfw.gov.cn/）。完成注册后，信息隔天方可同步。9.2 CA数字证书：如需办理CA数字证书请咨询：电话：400-0351-858、400-0351-858。9.3 确认投标：参与本项目的投标人，请在晋中市公共资源交易平台登录系统，在确认投标栏目中找到对应的项目参加投标。9.4 各有关投标人请自行选择合适电脑，登陆晋中市公共资源交易平台（https://ggzy.sxjz.gov.cn）—下载查询—工程建设—晋中市不见面开标驱动程序及操作手册，按照操作手册安装驱动，提前进行环境检测。9.5 技术支持电话：0351-2926957。 十、监督部门 本招标项目的监督部门为介休市自然资源局 电话:15003449988 电子邮件:jxstdzlzx@163.com 十一、联系方式 招标人：介休市规划和自然资源事务服务中心 地址：山西省晋中市介休市北坛中路109号 联系人：宋先生 联系电话：18735429575 电子邮件：jxstdzlzx@163.com 招标代理机构：山西国建中恒工程项目管理有限公司 地址：山西省太原市万柏林区迎泽西大街119号公元时代城1幢A座25层2501号 联系人：许情 联系电话：13623629050 电子邮件：sxgjzhgszbb@163.com 招标人或其招标代理机构主要负责人（项目负责人）：（签名） 招标人或其招标代理机构：（盖章）",介休市规划和自然资源事务服务中心,山西省晋中市介休市北坛中路109号,宋先生,18735429575,山西国建中恒工程项目管理有限公司,山西省太原市万柏林区迎泽西大街119号公元时代城1幢A座25层2501号,许情,13623629050,介休市自然资源局,无,无,15003449988,无,无,招标公告-2026.7.3,山西省公共资源交易平台,介休市义棠镇郭壁村采煤沉陷区搬迁安置后旧房拆除及土地复垦项目招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1070871.jhtml
招标公告,长治市上党区2026年“美丽蓝天”煤改电项目施工,无,无,2026年7月28日09时30分,2026年7月3日起至2026年7月28日 获取方法：在全国公共资源交易平台（山西省•长治市） （https://ggzy.changzhi.gov.cn/）下载招标文 件。 五、投标文件的 递交 递交截止时间：2026年7月28日09时30分,长治市上党区2026年“美丽蓝天”煤改电项目施工 招标公告 （招标编号：ZFD14042120260 7030007-02） 招标项目所在地区：山西省长治市上党区 一、招标条件 本招标项目长治市上党区 2026 年“美丽蓝天”煤改电项目施工（招标项目 编 号 ： Z F D140421202607030007-02 ） 已 由 长治市上党区发展改革和科学技术局以 长上发改审字[2026]17 号、长上发改审字[2026]31 号批复，建设资金为申请上 级资金和区财政资金配套解决 ， 招 标 人为长治市上党区城投供热有限公司 。 项 目 已具备招标条件，现对该项目施工进行公开招标。 二、项目概况和招标 范围 1、项目名称：长治市上党区2026年“美丽蓝天”煤改电项目施工。 2、项目建设地址：长治市上党区荫城镇。 3、建设内容及规模：本项目拟对锦家庄村、西陕村、安宅上村、木坡村、 藏 龙村 、 树 家 头等6个自然村进行煤改电 ， 涉 及 改造户数共计874户 ， 本 项 目推荐 采用石墨烯电热板墙暖供热系统。 4、计划工期：4个月。 5、招标范围及标段划分：施工图纸和工程量清 单范围内的全部内容；按一 个标段组织招标。 三、投标人资格 要求 1、投标人须具有相关主管部门颁发的建筑机电 安装工程专业承包二级及其 以上资质和建筑工程施工总承包三级及其以上资质 ， 并 在 人员 、 设 备 、 资 金 等方 面具有完成施工的能力。 2、项目经理资格要求：拟担任本工程项目经理 须具备机电工程专业二级及 其以上注册建造师执业资格 ， 具 备 有效的安全生产考核合格证书 ， 且 未 担任其他 在建工程项目的项目经理。 3 、财务要求：投标人须提供2025年度财务审计报告。 4 、企业最后一次缴纳税收的完税凭证和社保缴 纳凭证（社保部门出具的正 规社保凭证和参保缴费证明为准）。 5 、投标人在经营活动中没有重大违法记录且未 被列入失信执行人名单，以 “信用中国”（ http://www.creditchina.gov.c n ） 网站查询结果为准。 6 、单位负责人为同一人或者存在控股、管理关 系的不同单位不得同时参加 本项目的投标。 7 、投标人须提供中国裁判文 书网（ http://wenshu.court.gov.cn/ ）查询页面 截 图（须查询企业、法定代表人、项目经理）。 8 、本次招标不接受联合体投标。 四、招标文件的获 取 获取时间：2026年7月3日起至2026年7月28日 获取方法：在全国公共资源交易平台（山西省•长治市） （https://ggzy.changzhi.gov.cn/）下载招标文 件。 五、投标文件的 递交 递交截止时间：2026年7月28日09时30分。 递交方法： 在投标文件递交截止时间前，登录 (https://ggzy.changzhi.gov.c n/）“全国公共资源交易平台（山西省•长治市）” 在线提交加密后的电子投标文件。 递交地址：“全国公共资源交易平台（山西省•长治市）” (https://ggzy.cha ngzhi.gov.cn/） 六、开标时间及 地点 开标时间：2026年7月28日09时30分 开标方式：本次项目采 用远程开 标 （ 不见面开标）方式开标，具体操作 流程 详见全国公共资源交易平台（山西省•长治市）下载 中心《建设工程远程开标用 户 手册 》 ； 投 标人应在开标前需准备好 CA 锁 ， 以 确 保网络环境良好及电脑运行 正常等相关工作，保证远程开标会议的顺利进行。 七、提交投标保证金 的形式 本项目可以采用现金保证金或银行保函 、 保 证 保险 、 担 保 机构保函 、 电 子 保 函等非现金交易担保方式提交投标保证金。 八、提出异议的渠道 和方式 提出异议的渠道：1、通过(https://ggzy.changzhi.g ov.cn/）“全国公共 资源交易平台（山西省•长治市）”系统平台。 2、纸质方式 接收异议的联系人：侯先生 电 话 ：0355-8081180 九、其他公示 内容 本次招标公告同时在山西省招标投标公共服务平台 、 全 国 公共资源交易平台 （山西省•长治市）发布。 十、监督部 门 本招标项目的监督部门为长治市上党区住房和城乡建设局 联系人：侯女士 电 话：0355-8089230 电子邮件：changxianzhujian@163.com 十一、联系方 式 招 标 人 ：长治市上党区城投供热有限公司 地 址： 山 西 省长治市上党区韩店街道 联 系 人 ：侯先生 话： 0355-8081180 电子邮件 ： sdctgr2020@163.com 电 招标代理机构：山西三木工程项目管理有限公司 地 联 电 址： 长治市英雄中路 383 号 系 人： 李 女士 话 ：0355-2031510 电 子 邮 件：sanmugs@163.com 招标人或其招标代理机构主要负 责人（项目负责人） ： （签名 ） 招标人或其招标代 理机构： （盖章 ）,长治市上党区城投供热有限公司,山西省长治市上党区韩店街道,侯先生,0355-8081180,山西三木工程项目管理有限公司,长治市英雄中路383号,李女士,0355-2031510,长治市上党区住房和城乡建设局,山 西 省长治市上党区韩店街道,侯女士,0355-8089230,无,无,招标公告-2026.7.3,山西省公共资源交易平台,长治市上党区2026年“美丽蓝天”煤改电项目施工招标公告|https://prec.sxzwfw.gov.cn/jyxxgczb/1070997.jhtml
变更公告,柳林县贾家垣乡李家焉至双则公路工程施工项目,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,变更公告-2026.7.3,山西省公共资源交易平台,柳林县贾家垣乡李家焉至双则公路工程施工项目变更公告|https://prec.sxzwfw.gov.cn/jyxxgcgz/1070819.jhtml
中标候选人公示,大同市云冈区供水管网及设施更新改造项目,无,无,无,无,无,无,无,无,无,无,无,无,无,大同市住房和城乡建设局,无,无,无,无,无,中标候选人公示-2026.7.3,山西省公共资源交易平台,大同市云冈区供水管网及设施更新改造项目(4标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1070942.jhtml
中标候选人公示,晋城市泽州县丹河流域北义城镇段农村生活污水治理及资源化利用项目,无,无,无,无,无,无,无,无,无,无,无,无,无,泽州县住房和城乡建设管理局,无,无,无,无,无,中标候选人公示-2026.7.3,山西省公共资源交易平台,晋城市泽州县丹河流域北义城镇段农村生活污水治理及资源化利用项目中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1070977.jhtml
中标候选人公示,山西阳泉矿区泊里煤矿项目15101工作面三号瓦斯鉴定巷定向长钻孔工程（15103、15105工作面系统巷揭煤）,无,无,无,无,无,无,无,无,无,无,无,无,无,山西省晋中市和顺县能源局,无,无,无,无,无,中标候选人公示-2026.7.3,山西省公共资源交易平台,山西阳泉矿区泊里煤矿项目15101工作面三号瓦斯鉴定巷定向长钻孔工程（15103、15105工作面系统巷揭煤）中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1070984.jhtml
中标候选人公示,平鲁区李林中学3#学生公寓维修工程（装饰装修）,无,无,无,无,无,无,无,无,无,无,无,无,无,朔州市平鲁区住房和城乡建设管理局,无,无,无,无,无,中标候选人公示-2026.7.3,山西省公共资源交易平台,平鲁区李林中学3#学生公寓维修工程（装饰装修）(1标段)中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1070980.jhtml
招标计划,山阴县第一中学校教学楼、宿舍楼室内部分设施修缮改造项目,房屋市政,公开招标,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,招标计划-2026.7.3,山西省公共资源交易平台,山阴县第一中学校教学楼、宿舍楼室内部分设施修缮改造项目|https://prec.sxzwfw.gov.cn/jyxxzbjh/1070978.jhtml
中标候选人公示,长治市上党区工人文化宫改造项目设计施工总承包,无,无,无,无,无,无,无,无,无,无,无,无,无,长治市上党区住房和城乡建设局,无,侯女士,0355-8089230,无,无,中标候选人公示-2026.7.3,山西省公共资源交易平台,长治市上党区工人文化宫改造项目设计施工总承包中标候选人公示|https://prec.sxzwfw.gov.cn/jyxxgchxr/1071003.jhtml
