公共类型,项目名称,所属行业,组织形式,开标时间,标书发售时间,公告内容,招标人地址,招标人联系人,招标人联系方式,招标代理机构,招标代理机构地址,招标代理机构联系人,招标代理机构联系方式,监督部门地址,监督部门联系人,监督部门联系方式,依据文件,依据文号,发布日期,发布网站,详情页链接,详情ID,全文文本,交易场所,列表发布日期
,潞州区100MW/50.41MWh独立混合储能项目飞轮储能系统采购中标结果公示,,,,,"潞州区100MW/50.41MWh独立混合储能项目飞轮储能系统采购中标结果公示
（招标编号：SXHCGZHW-2026002）
本 潞州区100MW/50.41MWh独立混合储能项目飞轮储能系统采购 （招标项目编号： M1100000048005285004 ），确定001第一标段的中标人如下：
一、中标人信息：
001第一标段：  中标人：山西启同天华能源技术有限公司  中标价格：31270.000000万元
二、其他公示内容：
无
三、监督部门
本招标项目的监督部门为长治市潞州区能源局
联系电话：0355-2207390
电子邮箱：lzqnyjbgs@163.com
四、联系方式
招 标 人：长治市潞州区中能茂源新能源有限公司
地  址：山西省长治市潞州区马厂镇桥东北路5号
联 系 人：杨同兴
联系电话：15235361239  招标代理机构：山西华创项目管理有限公司
地  址：山西省太原市小店区平阳路华康帝景12层
联 系 人：侯春霞、张亦儒、常鑫
联系电话：0351-7033318
电子邮箱：sxhcxmgl@163.com
招标人或其招标代理机构主要负责人（项目负责人）：
（盖章）
招标人或其招标代理机构：
（盖章）",山西省长治市潞州区马厂镇桥东北路5号,,15235361239,山西华创项目管理有限公司,山西省太原市小店区平阳路华康帝景12层,,0351-7033318,,,,,,2026-06-22 15:50,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066737.jhtml,1066737,"潞州区100MW/50.41MWh独立混合储能项目飞轮储能系统采购中标结果公示
（招标编号：SXHCGZHW-2026002）
本 潞州区100MW/50.41MWh独立混合储能项目飞轮储能系统采购 （招标项目编号： M1100000048005285004 ），确定001第一标段的中标人如下：
一、中标人信息：
001第一标段：  中标人：山西启同天华能源技术有限公司  中标价格：31270.000000万元
二、其他公示内容：
无
三、监督部门
本招标项目的监督部门为长治市潞州区能源局
联系电话：0355-2207390
电子邮箱：lzqnyjbgs@163.com
四、联系方式
招 标 人：长治市潞州区中能茂源新能源有限公司
地  址：山西省长治市潞州区马厂镇桥东北路5号
联 系 人：杨同兴
联系电话：15235361239  招标代理机构：山西华创项目管理有限公司
地  址：山西省太原市小店区平阳路华康帝景12层
联 系 人：侯春霞、张亦儒、常鑫
联系电话：0351-7033318
电子邮箱：sxhcxmgl@163.com
招标人或其招标代理机构主要负责人（项目负责人）：
（盖章）
招标人或其招标代理机构：
（盖章）",,2026-06-22
,浑源县韩村一麻庄村线（G239-藏经庄段）资源路产业路改造工程(1标段)中标结果公示,,,,,"浑源县韩村一麻庄村线（G239-藏经庄段）资源路产业路改造工程(1标段)中标结果公示

（招标编号：E14020000G3001901001）

本浑源县韩村一麻庄村线（G239-藏经庄段）资源路产业路改造工程（招标项目编号：E14020000G3001901001），确定001浑源县韩村一麻庄村线（G239-藏经庄段）资源路产业路改造工程的中标人如下：

一、中标人信息

001浑源县韩村一麻庄村线（G239-藏经庄段）资源路产业路改造工程：

中标人: 
山西鹏程万里建筑工程有限公司;  中标价格:（  投标报价:4174228.00  元  ;  ）  二、其他公示内容

本招标项目的监督部门为大同市交通运输局。地址：大同市兴云街2799号（文瀛湖办公楼）东楼五层。电话：0352-2390462，邮箱：dtsjtjjgk@163.com。

三、监督部门

本招标项目的监督部门为大同市交通运输局。

四、联系方式

招 标 人: 
浑源县交通运输事业发展中心

地 址: 
浑源县永安镇柳河东侧道口处

联 系 人: 
左敏

电 话: 
13133280153

电子邮件: 
hyxdlysgls@163.com

招标代理机构: 
山西鑫状元招标代理有限公司

地 址: 
山西省大同市平城区马军营街道十里店村（西二排五栋1号）

联 系 人: 
何忠民

电 话: 
13111127259

电子邮件: 
sxxzyzbdl@163.com

招标人或招标代理机构主要负责人（项目负责人）: 
（签章）

招标人或招标代理机构: 
（签章）",浑源县永安镇柳河东侧道口处,左敏,13133280153,,,,,,,,,,2026-06-22 15:35,大同市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066724.jhtml,1066724,"浑源县韩村一麻庄村线（G239-藏经庄段）资源路产业路改造工程(1标段)中标结果公示

（招标编号：E14020000G3001901001）

本浑源县韩村一麻庄村线（G239-藏经庄段）资源路产业路改造工程（招标项目编号：E14020000G3001901001），确定001浑源县韩村一麻庄村线（G239-藏经庄段）资源路产业路改造工程的中标人如下：

一、中标人信息

001浑源县韩村一麻庄村线（G239-藏经庄段）资源路产业路改造工程：

中标人: 
山西鹏程万里建筑工程有限公司;  中标价格:（  投标报价:4174228.00  元  ;  ）  二、其他公示内容

本招标项目的监督部门为大同市交通运输局。地址：大同市兴云街2799号（文瀛湖办公楼）东楼五层。电话：0352-2390462，邮箱：dtsjtjjgk@163.com。

三、监督部门

本招标项目的监督部门为大同市交通运输局。

四、联系方式

招 标 人: 
浑源县交通运输事业发展中心

地 址: 
浑源县永安镇柳河东侧道口处

联 系 人: 
左敏

电 话: 
13133280153

电子邮件: 
hyxdlysgls@163.com

招标代理机构: 
山西鑫状元招标代理有限公司

地 址: 
山西省大同市平城区马军营街道十里店村（西二排五栋1号）

联 系 人: 
何忠民

电 话: 
13111127259

电子邮件: 
sxxzyzbdl@163.com

招标人或招标代理机构主要负责人（项目负责人）: 
（签章）

招标人或招标代理机构: 
（签章）",,2026-06-22
,一、内容,,,,,"一、内容
山西明安建设项目管理有限公司
受晋城市园林绿化服务中心的委托，对晋城二中等6所学校美丽校园建设项目总承包进行公开招标，该项目于2026年06月18日举行开标会议，评标委员会已完成评标工作，现将中标结果公告如下：  中 标 人：牵头人：晋城市建工集团有限公司
联合体成员：保定市城乡规划设计研究院有限公司  中 标 价：施工图设计费：120000元
建设工程费：6861348.63元
质  量：设计：设计满足国家及行业现行相关设计规范及相关技术标准要求；施工：施工质量符合设计图纸及国家有关标准规范要求，达到国家及行业现行施工验收规范合格标准；采购：采购符合设计要求及国家现行有关验收规范合格标准。
工  期：180日历天（其中：施工160日历天，设计20日历天）
项目经理：吴雨芳（市政公用工程一级注册建造师  晋1142025202601097）
设计负责人：张鑫（高级工程师（风景园林工程）2022B109248）
二
、监督部门
本招标项目的监督部门：晋城市住房和城乡建设局。
电话：0356-2229311
邮箱：jcszbb@163.com
三、其他
本次中标结果公告在《山西省招标投标公共服务平台》《全国公共资源交易平台（山西省·晋城市）》上同时发布。
四、
联系方式
招标人：晋城市园林绿化服务中心
地  址：晋城市凤台西街779号
联系人：
李青冈
电  话：
0356-2217626  招标代理机构：
山西明安建设项目管理有限公司
地址：山西省晋城市开发区新市东街2088号紫薇华庭商务中心308室
联  系  人：
赵昕杰
电  话：
0356-213
2258  电  子  邮  箱：
zb123456202105@163.com",晋城市凤台西街779号,李青冈,0356-2217626,山西明安建设项目管理有限公司,山西省晋城市开发区新市东街2088号紫薇华庭商务中心308室,赵昕杰,,,,0356-2229311,,,2026-06-22 15:05,晋城市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066710.jhtml,1066710,"一、内容
山西明安建设项目管理有限公司
受晋城市园林绿化服务中心的委托，对晋城二中等6所学校美丽校园建设项目总承包进行公开招标，该项目于2026年06月18日举行开标会议，评标委员会已完成评标工作，现将中标结果公告如下：  中 标 人：牵头人：晋城市建工集团有限公司
联合体成员：保定市城乡规划设计研究院有限公司  中 标 价：施工图设计费：120000元
建设工程费：6861348.63元
质  量：设计：设计满足国家及行业现行相关设计规范及相关技术标准要求；施工：施工质量符合设计图纸及国家有关标准规范要求，达到国家及行业现行施工验收规范合格标准；采购：采购符合设计要求及国家现行有关验收规范合格标准。
工  期：180日历天（其中：施工160日历天，设计20日历天）
项目经理：吴雨芳（市政公用工程一级注册建造师  晋1142025202601097）
设计负责人：张鑫（高级工程师（风景园林工程）2022B109248）
二
、监督部门
本招标项目的监督部门：晋城市住房和城乡建设局。
电话：0356-2229311
邮箱：jcszbb@163.com
三、其他
本次中标结果公告在《山西省招标投标公共服务平台》《全国公共资源交易平台（山西省·晋城市）》上同时发布。
四、
联系方式
招标人：晋城市园林绿化服务中心
地  址：晋城市凤台西街779号
联系人：
李青冈
电  话：
0356-2217626  招标代理机构：
山西明安建设项目管理有限公司
地址：山西省晋城市开发区新市东街2088号紫薇华庭商务中心308室
联  系  人：
赵昕杰
电  话：
0356-213
2258  电  子  邮  箱：
zb123456202105@163.com",,2026-06-22
,偏关县城区供水管网漏损治理项目工程设计项目(1标段)中标结果公示,,,,,"偏关县城区供水管网漏损治理项目工程设计项目(1标段)中标结果公示  （招标编号：E14090000G3001970001）  本偏关县城区供水管网漏损治理项目工程设计（招标项目编号：E14090000G3001970001），确定001偏关县城区供水管网漏损治理项目工程设计的中标人如下：  一、中标人信息  001偏关县城区供水管网漏损治理项目工程设计：  中标人: 
华汇工程设计集团股份有限公司;  中标价格:（ 投标总报价:2670000.00 元 ; ）  二、其他公示内容  无  三、监督部门  本招标项目的监督部门为偏关县住房和城乡建设管理局。  四、联系方式  招 标 人: 
偏关县公用事业中心  地 址: 
山西省忻州市偏关县新关镇关河路  联 系 人: 
白爱国  电 话: 
18636038829  电子邮件: 
Pgxgysyzx@163.com  招标代理机构: 
山西安畅项目管理有限公司  地 址: 
山西省忻州市忻州经济开发区紫檀新天地D座2204  联 系 人: 
张书宁  电 话: 
15635192337  电子邮件: 
sxac001@126.com  招标人或招标代理机构主要负责人（项目负责人）: 
（签章）  招标人或招标代理机构: 
（签章）",山西省忻州市偏关县新关镇关河路,白爱国,18636038829,山西安畅项目管理有限公司,山西省忻州市忻州经济开发区紫檀新天地D座2204,张书宁,15635192337,,,,,,2026-06-22 15:00,忻州市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066706.jhtml,1066706,"偏关县城区供水管网漏损治理项目工程设计项目(1标段)中标结果公示  （招标编号：E14090000G3001970001）  本偏关县城区供水管网漏损治理项目工程设计（招标项目编号：E14090000G3001970001），确定001偏关县城区供水管网漏损治理项目工程设计的中标人如下：  一、中标人信息  001偏关县城区供水管网漏损治理项目工程设计：  中标人: 
华汇工程设计集团股份有限公司;  中标价格:（ 投标总报价:2670000.00 元 ; ）  二、其他公示内容  无  三、监督部门  本招标项目的监督部门为偏关县住房和城乡建设管理局。  四、联系方式  招 标 人: 
偏关县公用事业中心  地 址: 
山西省忻州市偏关县新关镇关河路  联 系 人: 
白爱国  电 话: 
18636038829  电子邮件: 
Pgxgysyzx@163.com  招标代理机构: 
山西安畅项目管理有限公司  地 址: 
山西省忻州市忻州经济开发区紫檀新天地D座2204  联 系 人: 
张书宁  电 话: 
15635192337  电子邮件: 
sxac001@126.com  招标人或招标代理机构主要负责人（项目负责人）: 
（签章）  招标人或招标代理机构: 
（签章）",,2026-06-22
,左云县2026年“三北”工程大同市晋北地区高原风沙源生态保护和修复项目（一标段）(1标段)中标结果公示,,,,,"左云县2026年“三北”工程大同市晋北地区高原风沙源生态保护和修复项目（一标段）(1标段)中标结果公示

（招标编号：E14020000G3001878002）

本左云县2026年“三北”工程大同市晋北地区高原风沙源生态保护和修复项目（一标段）（招标项目编号：E14020000G3001878002），确定001左云县2026年“三北”工程大同市晋北地区高原风沙源生态保护和修复项目（一标段）的中标人如下：

一、中标人信息

001左云县2026年“三北”工程大同市晋北地区高原风沙源生态保护和修复项目（一标段）：

中标人: 
大同市恒芳园林绿化工程有限责任公司;  中标价格:（  投标总报价:737400.00  元  ;  ）  二、其他公示内容

无

三、监督部门

本招标项目的监督部门为大同市规划和自然资源局。

四、联系方式

招 标 人: 
左云县规划和自然资源局（左云县林业局）

地 址: 
山西省大同市左云县云兴镇永旺街31号

联 系 人: 
席国

电 话: 
13233142953

电子邮件: 
/

招标代理机构: 
山西荣辉工程项目管理有限责任公司

地 址: 
山西省大同市平城区振华街道同泉路亚太国际公馆南门109号商铺

联 系 人: 
梁佳兴

电 话: 
19834066714

电子邮件: 
1808784@qq.com

招标人或招标代理机构主要负责人（项目负责人）: 
（签章）

招标人或招标代理机构: 
（签章）",山西省大同市左云县云兴镇永旺街31号,席国,13233142953,山西荣辉工程项目管理有限责任公司,山西省大同市平城区振华街道同泉路亚太国际公馆南门109号商铺,梁佳兴,19834066714,,,,,,2026-06-22 14:55,大同市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066702.jhtml,1066702,"左云县2026年“三北”工程大同市晋北地区高原风沙源生态保护和修复项目（一标段）(1标段)中标结果公示

（招标编号：E14020000G3001878002）

本左云县2026年“三北”工程大同市晋北地区高原风沙源生态保护和修复项目（一标段）（招标项目编号：E14020000G3001878002），确定001左云县2026年“三北”工程大同市晋北地区高原风沙源生态保护和修复项目（一标段）的中标人如下：

一、中标人信息

001左云县2026年“三北”工程大同市晋北地区高原风沙源生态保护和修复项目（一标段）：

中标人: 
大同市恒芳园林绿化工程有限责任公司;  中标价格:（  投标总报价:737400.00  元  ;  ）  二、其他公示内容

无

三、监督部门

本招标项目的监督部门为大同市规划和自然资源局。

四、联系方式

招 标 人: 
左云县规划和自然资源局（左云县林业局）

地 址: 
山西省大同市左云县云兴镇永旺街31号

联 系 人: 
席国

电 话: 
13233142953

电子邮件: 
/

招标代理机构: 
山西荣辉工程项目管理有限责任公司

地 址: 
山西省大同市平城区振华街道同泉路亚太国际公馆南门109号商铺

联 系 人: 
梁佳兴

电 话: 
19834066714

电子邮件: 
1808784@qq.com

招标人或招标代理机构主要负责人（项目负责人）: 
（签章）

招标人或招标代理机构: 
（签章）",,2026-06-22
,宗业项目方案及初步设计中标结果公示,,,,,"宗业项目方案及初步设计
中标结果公示
(招标编号:ZLZX招【2026】0345号)
宗业项目方案及初步设计
(招标项目编号:
D3201150734004621001
),经评标委员会评审,确定
[
001第一标段
]的中标人如下:
一、中标人信息
001第一标段
:
中
 标 人:
太原市建筑设计研究院  中
 标 价:
78%  二、其他公示内容
本次中标结果
公示
同时在
《山西省招标投标公共服务平台》、《旺采网山西交易平台》
上发布!  三、监督部门:
本招标项目的监督部门为太原市住房和城乡建设局
电话:
0351-5625571
电子邮件:
tyszjjsck@163.com  四、联系方式:
招  标  人:太原新时代草坪置业有限公司
地  址:山西省太原市晋源区西中环路南段
199号国投大厦19层
联  系  人:池先生  电  话:
0351-6079816
电子邮件:
/  招标代理机构:山西重力工程咨询有限公司
地址:太原市万柏林区长兴北街
1号华润大厦T4楼15层
联系人:李正中  黄东  段振宇  王雷
电话:
18903416965  0351-7077533  电子邮件:
sxzlzb@126.com  招标人或其招标代理机构主要负责人(项目负责人):  (签名)  招标人或其招标代理机构:  (盖章)",,池先生,0351-6079816,山西重力工程咨询有限公司,,,18903416965  0351-7077533,,,,,,2026-06-22 14:45,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066695.jhtml,1066695,"宗业项目方案及初步设计
中标结果公示
(招标编号:ZLZX招【2026】0345号)
宗业项目方案及初步设计
(招标项目编号:
D3201150734004621001
),经评标委员会评审,确定
[
001第一标段
]的中标人如下:
一、中标人信息
001第一标段
:
中
 标 人:
太原市建筑设计研究院  中
 标 价:
78%  二、其他公示内容
本次中标结果
公示
同时在
《山西省招标投标公共服务平台》、《旺采网山西交易平台》
上发布!  三、监督部门:
本招标项目的监督部门为太原市住房和城乡建设局
电话:
0351-5625571
电子邮件:
tyszjjsck@163.com  四、联系方式:
招  标  人:太原新时代草坪置业有限公司
地  址:山西省太原市晋源区西中环路南段
199号国投大厦19层
联  系  人:池先生  电  话:
0351-6079816
电子邮件:
/  招标代理机构:山西重力工程咨询有限公司
地址:太原市万柏林区长兴北街
1号华润大厦T4楼15层
联系人:李正中  黄东  段振宇  王雷
电话:
18903416965  0351-7077533  电子邮件:
sxzlzb@126.com  招标人或其招标代理机构主要负责人(项目负责人):  (签名)  招标人或其招标代理机构:  (盖章)",,2026-06-22
,山西阳泉矿区七元煤矿项目进场道路铺设沥青工程中标结果公示,,,,,山西阳泉矿区七元煤矿项目进场道路铺设沥青工程中标结果公示  (招标编号：JSG2026-303)  山西阳泉矿区七元煤矿项目进场道路铺设沥青工程（招标项目编号：M1401000155400002166），经评标委员会评审，招标人确定[第一标段]的中标人如下：  一、中标人信息  第一标段:  中 标 人：山西国辰建设工程勘察设计有限公司  中 标 价：683.658575 万元  二、其他公示内容  无  三、监督部门：  本招标项目的监督部门为：寿阳县能源局  四、联系方式：  招标人：阳泉煤业集团七元煤业有限责任公司  地  址：山西省晋中市寿阳县  联系人：刘杰  电  话：13303533806  招标代理机构：山西嘉盛招标代理有限公司  地  址：山西省阳泉市北大西街五号社保大楼六层  联系人：曹俊杰、王杰、刘婧婧、贾振颖、毛锐  联系电话：0353-7080194、7070799  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）,山西省晋中市寿阳县,刘杰,13303533806,,,,,,,,,,2026-06-22 12:15,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066677.jhtml,1066677,山西阳泉矿区七元煤矿项目进场道路铺设沥青工程中标结果公示  (招标编号：JSG2026-303)  山西阳泉矿区七元煤矿项目进场道路铺设沥青工程（招标项目编号：M1401000155400002166），经评标委员会评审，招标人确定[第一标段]的中标人如下：  一、中标人信息  第一标段:  中 标 人：山西国辰建设工程勘察设计有限公司  中 标 价：683.658575 万元  二、其他公示内容  无  三、监督部门：  本招标项目的监督部门为：寿阳县能源局  四、联系方式：  招标人：阳泉煤业集团七元煤业有限责任公司  地  址：山西省晋中市寿阳县  联系人：刘杰  电  话：13303533806  招标代理机构：山西嘉盛招标代理有限公司  地  址：山西省阳泉市北大西街五号社保大楼六层  联系人：曹俊杰、王杰、刘婧婧、贾振颖、毛锐  联系电话：0353-7080194、7070799  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）,,2026-06-22
,黎城县高级中学建设项目施工,,,,,"黎城县高级中学建设项目施工
中标结果公示
黎城县高级中学建设项目施工，中标候选人公示期间无异议，现确定本项目的中标人如下：  一、
中标人信息
中标单位：山西建筑工程集团有限公司
中  标  价：
229059385.03元
二、其他公示内容
无
三、监督部门
本招标项目的监督部门为黎城县城乡建设和交通运输局
联  系  人：王林中
电  话：
13934292796
电子邮件：
lczfbz5672675@163.com
四、联系方式
招  标  人：黎城县第一中学校
地  址：黎城县教育街
联  系  人：赵先生
联系电话：
13934292605
电子邮件：
13934292605@163.com  招标代理机构：山西泰利达招标代理有限公司
地  址：山西省长治市长治高新技术产业开发区科技工业园区长兴北路星海假日小区
3号楼4单元402室
联  系  人：张女士
电  话：
0355-3069365
电子邮件：
609233963@qq.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",黎城县教育街,,13934292605,,,,,,,,,,2026-06-22 12:00,长治市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066670.jhtml,1066670,"黎城县高级中学建设项目施工
中标结果公示
黎城县高级中学建设项目施工，中标候选人公示期间无异议，现确定本项目的中标人如下：  一、
中标人信息
中标单位：山西建筑工程集团有限公司
中  标  价：
229059385.03元
二、其他公示内容
无
三、监督部门
本招标项目的监督部门为黎城县城乡建设和交通运输局
联  系  人：王林中
电  话：
13934292796
电子邮件：
lczfbz5672675@163.com
四、联系方式
招  标  人：黎城县第一中学校
地  址：黎城县教育街
联  系  人：赵先生
联系电话：
13934292605
电子邮件：
13934292605@163.com  招标代理机构：山西泰利达招标代理有限公司
地  址：山西省长治市长治高新技术产业开发区科技工业园区长兴北路星海假日小区
3号楼4单元402室
联  系  人：张女士
电  话：
0355-3069365
电子邮件：
609233963@qq.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-22
,长治市长丰片区棚户区（城中村）改造及配套基础设施建设项目,,,,,"长治市长丰片区棚户区（城中村）改造及配套基础设施建设项目
（五条道路）第三标段施工中标结果公示  长治市长丰片区棚户区（城中村）改造及配套基础设施建设项目（五条道路）第三标段施工
中标候选人公示期间无异议，现招标人确定该招标项目的中标人，中标结果公示如下
:
一、中标人信息：
中标人：山西诚晟海绵城市科技发展有限公司
中标价：
6021893.02
元
二、其它公示内容：无
三、监督部门：
本招标项目的监督部门为长治市住房和城乡建设局
地  址：长治市潞州区英雄南路东华门街
18号
联系人：赵女士
联系方式：
0355-2022588、2111484
邮箱：  czsjsgczbb@163.com
四、联系方式
招标人：长治市财通置业有限责任公司
地  址：长治市潞州区英雄南路东华门街
18号
联系人：赵女士
电  话：
17696272951 
邮  箱：
864739642@qq.com  招标代理机构：山西麟越建设项目管理有限公司
地址：山西省长治市长治高新技术产业开发区保宁门西街
309号世纪城第1座811号
联  系  人：陈女士
联系电话：
0355-3728266
邮  箱：
1424797752@qq.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）
招标人或其招标代理机构：  （盖章）",,赵女士,17696272951,山西麟越建设项目管理有限公司,,,0355-3728266,,,,,,2026-06-22 12:00,长治市公共资源交易平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066669.jhtml,1066669,"长治市长丰片区棚户区（城中村）改造及配套基础设施建设项目
（五条道路）第三标段施工中标结果公示  长治市长丰片区棚户区（城中村）改造及配套基础设施建设项目（五条道路）第三标段施工
中标候选人公示期间无异议，现招标人确定该招标项目的中标人，中标结果公示如下
:
一、中标人信息：
中标人：山西诚晟海绵城市科技发展有限公司
中标价：
6021893.02
元
二、其它公示内容：无
三、监督部门：
本招标项目的监督部门为长治市住房和城乡建设局
地  址：长治市潞州区英雄南路东华门街
18号
联系人：赵女士
联系方式：
0355-2022588、2111484
邮箱：  czsjsgczbb@163.com
四、联系方式
招标人：长治市财通置业有限责任公司
地  址：长治市潞州区英雄南路东华门街
18号
联系人：赵女士
电  话：
17696272951 
邮  箱：
864739642@qq.com  招标代理机构：山西麟越建设项目管理有限公司
地址：山西省长治市长治高新技术产业开发区保宁门西街
309号世纪城第1座811号
联  系  人：陈女士
联系电话：
0355-3728266
邮  箱：
1424797752@qq.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）
招标人或其招标代理机构：  （盖章）",,2026-06-22
,高平市炎谷丰高标准设施蔬菜基地项目(003三标段)中标结果公示,,,,,"高平市炎谷丰高标准设施蔬菜基地项目(003三标段)中标结果公示  (招标编号：QGC-JC-2026-018)  高平市炎谷丰高标准设施蔬菜基地项目（招标项目编号：M1401000155210448001），经评标委员会评审，确定[003三标段]的中标人如下：  一、中标人信息  003三标段:  中 标 人：长治市太行城市建设有限公司  中 标 价：3917.808000 万元  二、其他公示内容  无  三、监督部门：  本招标项目的监督部门为：高平市农业农村局  四、联系方式：  招标人：山西炎谷丰供销联合发展有限公司  地址：山西省高平市  联系人：王少
锞  联系方式：
15103563919  招标代理机构：晋城全过程工程咨询有限公司  地址：晋城市白水西街锦龙名苑小区
4号楼  联系人：祝艳飞  联系方式：
18335620271  平台网站：www.jcebid.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",山西省高平市,,,晋城全过程工程咨询有限公司,,,,,,,,,2026-06-22 11:50,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066665.jhtml,1066665,"高平市炎谷丰高标准设施蔬菜基地项目(003三标段)中标结果公示  (招标编号：QGC-JC-2026-018)  高平市炎谷丰高标准设施蔬菜基地项目（招标项目编号：M1401000155210448001），经评标委员会评审，确定[003三标段]的中标人如下：  一、中标人信息  003三标段:  中 标 人：长治市太行城市建设有限公司  中 标 价：3917.808000 万元  二、其他公示内容  无  三、监督部门：  本招标项目的监督部门为：高平市农业农村局  四、联系方式：  招标人：山西炎谷丰供销联合发展有限公司  地址：山西省高平市  联系人：王少
锞  联系方式：
15103563919  招标代理机构：晋城全过程工程咨询有限公司  地址：晋城市白水西街锦龙名苑小区
4号楼  联系人：祝艳飞  联系方式：
18335620271  平台网站：www.jcebid.com  招标人或其招标代理机构主要负责人（项目负责人）：  （签名）  招标人或其招标代理机构：  （盖章）",,2026-06-22
,清徐县城乡供水一体化-市政管网延伸工程(一期)监理中标结果公示,,,,,"清徐县城乡供水一体化-市政管网延伸工程(一期)监理中标结果公示
（招标编号：M1100000048005464001）
本 清徐县城乡供水一体化-市政管网延伸工程(一期)监理 （招标项目编号： M1100000048005464001 ），确定001第一标段的中标人如下：
一、中标人信息：
001第一标段：  中标人：太原德淼建设监理有限公司  中标价格：67.000000万元
二、其他公示内容：
无
三、监督部门
本招标项目的监督部门为 清徐县水务局 
电  话：0351-2971632  电子邮件：QXSWJGHK@163.com
四、联系方式
招 标 人：清徐县惠民农村供水有限公司
地  址：太原市清徐县清东路13号
联 系 人：马爱成
电  话：13834602608
电子邮件：/  代理机构：山西佰辰建设项目管理有限公司
地  址：山西省太原市迎泽区双塔西街50号C座2层
联 系 人：连志强  电  话：15303519453
电子邮件：sxbcxmgl@163.com  招标人或其招标代理机构主要负责人（项目负责人）：
（盖章）
招标人或其招标代理机构：
（盖章）",太原市清徐县清东路13号,马爱成,13834602608,山西佰辰建设项目管理有限公司,山西省太原市迎泽区双塔西街50号C座2层,连志强,15303519453,,,,,,2026-06-22 11:20,山西省招标投标公共服务平台,https://prec.sxzwfw.gov.cn/jyxxgcgs/1066652.jhtml,1066652,"清徐县城乡供水一体化-市政管网延伸工程(一期)监理中标结果公示
（招标编号：M1100000048005464001）
本 清徐县城乡供水一体化-市政管网延伸工程(一期)监理 （招标项目编号： M1100000048005464001 ），确定001第一标段的中标人如下：
一、中标人信息：
001第一标段：  中标人：太原德淼建设监理有限公司  中标价格：67.000000万元
二、其他公示内容：
无
三、监督部门
本招标项目的监督部门为 清徐县水务局 
电  话：0351-2971632  电子邮件：QXSWJGHK@163.com
四、联系方式
招 标 人：清徐县惠民农村供水有限公司
地  址：太原市清徐县清东路13号
联 系 人：马爱成
电  话：13834602608
电子邮件：/  代理机构：山西佰辰建设项目管理有限公司
地  址：山西省太原市迎泽区双塔西街50号C座2层
联 系 人：连志强  电  话：15303519453
电子邮件：sxbcxmgl@163.com  招标人或其招标代理机构主要负责人（项目负责人）：
（盖章）
招标人或其招标代理机构：
（盖章）",,2026-06-22
